Authors,Title,Year,Source
P Lorente,Prácticas pedagógicas con Wikipedia en Educación Superior Universitaria. Análisis de experiencias en universidades públicas argentinas,2024,nan
C Strzelecka,Cyfrowe wiedźmy Wikipedii,2021,Czas Kultury
K Jesella,Just Click Publish: Doing Feminist History and Archiving on the Internet,2020,Doing Feminist History and Archiving on the Internet
"M Ridge, S Blickhan, M Ferriter…",12. Connecting with communities,2021,The Collective Wisdom Handbook: Perspectives on Crowdsourcing in Cultural Heritage - community review version
H Schmedes,–1.153 CHARACTERS. TOWARDS A QUEERFEMINIST INFRASTRUCTURAL CRITIQUE OF WIKIPEDIA,2024,FKW//Zeitschrift für Geschlechterforschung und …
BM Koteeswaran,Bridging the Gender Gap,2021,Bridging the Gender Gap
D Alemany,Making women's history matter: Female presence in and through Wikipedia,2017,"Making women’s history matter: Female presence in and through
Wikipedia "
E SOBRELab,III ENCUENTROS SOBRE DINÁMICAS DE COMU--NICACIÓN ACTUALES EN EL ARTE CONTEMPO--RÁNEO.,2024,SOBRE Lab
"HT Dyer, C Abidin",Understanding identity and platform cultures,2022,The SAGE handbook of digital society
"J Pasricha, AJE Fisher",Writing Women into Wikipedia,nan,Participatory Research and Inquiry
"M Gaffet, C Espy",The role of national libraries in contributing towards the sustainable development goal of gender equality,2016,"The role of national libraries in contributing towards the sustainable
development goal of gender equality"
"M Lemus-Rojas, TA Thompson",Bringing archival collections to Wikipedia with the Remixing Archival Metadata Project (RAMP) editor,2017,"Bringing archival collections to Wikipedia with the Remixing Archival
Metadata Project (RAMP) editor"
Wendy Woods,Internet Update,2001.0,Newsbytes
Clara Brunel,Wikipédia : faire du neuf avec du vieux,2015.0,LePoint.fr
KAI AGTHE,Wunderbare Wissenswelt,2020.0,M. DuMont Schauberg Alle Rechte vorbehalten
"Torie Bosch, Ellen Ullman, Key S. Chudler",You are not expected to understand this: how 26 lines of code changed the world,2022.0,Princeton University Press
"Sarah Elaine Eaton, Julia Christensen Hughes",Academic Integrity in Canada,2022.0,Springer
Annette Gilbert,Open Call: Library of Artistic Print-on-Demand. Collection & Research,2019.0,Bayerische Staatsbibliothek München
Leo Mirani,Big Data: there’s no escape,2015.0,Economist
Christiane Paul,A Companion to Digital Art,2016.0,Wiley-Blackwell
Gunnar Wolf and Alejandro Miranda,Construcción Colaborativa del Conocimiento,2011.0,"UNAM, Instituto de Investigaciones Económicas"
"María Luisa Sánchez-Pérez, María Garrido-Román",Copias de copias: la apropiación de la apropiación en Arte Contemporáneo,2017.0,Observar
Megan Kallus,UT School of Information to host feminist Wikipedia Edit-a-thon,2015.0,"The Daily Texan (Austin, TX)"
Karly Nisson,Wiki-ty Whack,2015.0,The Guardian (San Diego)
Tom Zillich,Wikipedia Edit-a-thon' in Surrey aims to correct 'significant gender gap' on online encyclopedia,2022.0,Surrey Leader
KJB,NWSA Initiative Tackles Wikipedia Gender Gap,2016.0,Women in Higher Education
Adam Hencz,Artists At Home: Between Familiar Environments And New Perspectives,2020.0,Artland
Sun Jiayi,把维基百科全部7600卷词条印出来！不是行为艺术？,2015.0,The Paper
Christiane Paul,World of Art Series: Digital Art (Third Edition),2023,Thames and Hudson
Alessandro Ludovico,Post Digital Print: The Mutation of Publishing since 1894,2012,Onomatopee 77
Dominic Smith,Open Source Practices,2010,The Green Box
Edward A. Shanken,"Art and Electronic Media, Themes and Movements Series",2009,Phaidon
Marita Sturken and Lisa Cartwright,"Practices of Looking, An Introduction to Visual Culture",2008,Oxford Unversity Press
Jean-Damien Collin,Quelques pratiques artistiques à l’ère de la numérisation,2007,Les Presses Du Reel
The Upgrade,Upgrade! International: Oklahoma City DIY,2006,Upgrade!
Reena Jana and Mark Tribe,New Media Art,2006,Taschen/Basic Art
Joline Blais and Jon Ippolito,At the Edge of Art,2006,Thames and Hudson
Olav Velthuis,Imaginary Economics: Contemporary Artists And The World Of Big Money,2005,NAi Publishers
Miles Orvell,American Photography,2003,Oxford University Press
Charlotte Kent,Glitching Time and Time-Based Media,2022,The Brooklyn Rail
Seph Rodney,"When an Artist’s Body Breaks Down, Human Relations Become Crucial",2021,Hyperallergic
Francesco Ciaponi,La cultura dal digitale alla carta. Il progetto artistico sulle dimensioni di Wikipedia,2021,Artribune
Rebecca Panovka,No Rest for the Wiki,2021,Book Forum
Elena Giulia Rossi,Interview with Domenico Quaranta,2019,arshake.com
Valerio Veneruso,Lavoro E Futuro: Hyperemployment a Lubiana,2019,Artribune
Jenniffer Schuessler,"Cheeseburgers, Oil, and Minimum Wage: Building a Museum of Capitalism",2019,New York Times
Annie Armstrong,Art + Feminism to Host Sixth Annual Edit-a-Thon,2019,ARTNews
Nadja Sayej,Wikipedia's forgotten women: inside the editing marathon to fix imbalance,2018,The Guardian
Rachael Myrow,"Wikipedia Needs More Female Artists -- So Go Add Them, Says Stanford",2018,KQED
Daniel A. Gross,An Annual Feminist Editing Session Takes on Wikipedia’s Gender Problem,2018,Hyperallergic
Régine Debatty,"Failed Banks, Quantified Self, and Addition to the Infinite Scroll: an Interview with Michael Mandiberg",2017,We Make Money Not Art
Valentina Tanni,L’arte nell’epoca del post-fail. Una mostra al Fotomuseum di Winterthur,2017,Artribune
Lily Silverton,How To Get More Women On Wikipedia,2017,Refinery 29
Sarah Cascone,"Narrowing Gender Gap, Wikipedia Edit-a-Thon Writes 6,500 More Women Into Art History",2017,Artnews
John Bonazzo,Feminist Artists Combat Wikipedia’s Gender Imbalance Through Editing Sessions,2017,The Observer
Alan Smart,Futures // Common Knowledge: An Interview with Michael Mandiberg,2016,Berlin Art Link
Jessica Binsch,"Einmal die Wikipedia ausdrucken, bitte!",2016,Süddeutsche Zeitung
Jana Lapper,Künstler druckt das Internet aus 3.406 Bände voller Wikipedia,2016,TAZ
Jim O’Donnell,This Is What Happens When You Try to Print Out the Entirety of Wikipedia,2016,Slate
Seph Rodney,Where Do Banks Go When They Die?,2016,Hyperallergic
Mark Singer,Making Art With Failed Banks,2016,The New Yorker
Tina Rivers Ryan,Market Research,2016,Art in America
Julia Halperin,Don’t bank on it: New York artist’s memorial to financial failures comes to Wall Street,2016,The Art Newspaper
Talia Lavin,A Feminist Edit-a-Thon Seeks to Reshape Wikipedia,2016,New Yorker
Jade Angeles Fitton,"Third Annual Edit-a-thon to Bring More Women Artists, and Editors, to Wikipedia",2016,ArtSlant New York
Hannah Ghorashi,Art + Feminism Announces Third Wikipedia Edit-A-Thon,2016,ARTnews
Jennifer W. Leung,Michael Mandiberg,2015,Artforum
Jennifer Schuessler,Print Wikipedia Reaches Final Entry,2015,New York Times
Hannah Ghorashi,FROM AAAAA! TO ZZZAP!: MICHAEL MANDIBERG ON HIS PLAN TO PRINT WIKIPEDIA,2015,ARTnews
Press Trust of India,"Printed Wikipedia for $500,000",2015,"Press Trust of India (syndicated in Times of India, The Hindu, Dhaka Times, etc)"
Giorgio Barrato,Wikipedia stampata: 7600 volumi costerebbero 450mila euro,2015,Wired (Italy)
Dan Damon,Why print copies of Wikipedia?,2015,BBC World Service
 ,Un artiste américain imprime la version anglaise de Wikipedia,2015,Libération
Amah-Rose Abrams,"Artist Michael Mandiberg Turns Wikipedia into 7,600 Volumes for Gallery Show",2015,ArtNet News
Casey Quackenbush,Artist Converts Wikipedia to Print—Maybe It’s Not Dead After All,2015,New York Observer
Stephan Felix,Wikipedia liegt auf dem Drucker,2015,Die Zeit
Will Greenberg,"Ever Wonder what a $500,000 Version of Wikipedia Would Look Like?",2015,Washington Post
Nicole Walsh,Meet the Man Printing Wikipedia as a Book,2015,Vice Creator’s Project
Jennifer Schuessler,"Moving Wikipedia from Computer to Many, Many Bookshelves",2015,New York Times
Madeline Brand,Inside a Wikipedia Editathon,2015,KCRW
Sarah Cowan,Art-Minded Feminists Become Wikipedians for a Weekend,2015,Hyperallergic
Hannah Ghorashi,Art+Feminism's 2015 Wikipedia Edit-A-Thon Adds 334 Articles on Female Artists,2015,ARTnews
Jennifer Schuessler,"MoMA to Host Wikipedia Editing Marathon, to Improve Coverage of Women in the Arts",2015,The New York Times
Issie Lapowsky,Meet the Editors Fighting Racism and Sexism on Wikipedia,2015,Wired
The Editors,The Agenda: This Week in New York,2015,Art in America
Joseph Henry,Querying the new appropriation art: is this cynicism?,2015,MoMUS
Jonathan Jones,Is Wikipedia the best place to promote women in art?,2014,The Guardian
Julie Bort,A Growing Army Of Women Are Taking On Wikipedia’s Sexism Problem,2014,Business Insider
Avishay Artsy,Edit-a-thons aim to erase Wikipedia’s gender gap,2014,KCRW Radio
Kat Stoeffel,Closing Wikipedia’s Gender Gap-Reluctantly,2014,New York Magazine
Robin Cembalest,101 Women Who Got Wikipedia Pages This Week,2014,ARTNews
Catherine Wagley,Wikipedia Becomes a Battleground for Art Activism,2014,LA Weekly
Anthony Hicks and Corinna Kirsch,"This Must-See Art Events: Wikipedia Gets Edited, Artists Get (Pyramid) Schemed",2014,Art F City
