Authors,Title,Year,Source,Term
M Sengul-Jones,Intervening in Wikipedia: Feminist inquiries and opportunities,2018,Feminist Interventions in Participatory Media,Art+Feminism
M Severo,Can Wikipedia serve as a citizen science tool? Building knowledge between amateurs and institutions,2019,Wikipedia@ 20,Art+Feminism
M Siler,Beyond the Fountain Mapping a New Entry Point to the Society of Independent Artists,2022,Art Documentation: Journal of the Art Libraries …,Art+Feminism
"MA Vetter, J Andelfinger, S Asadolahi, W Cui, J Jiang…",The Journal of Multimodal Rhetorics,2018,journalofmultimodalrhetorics.com,Art+Feminism
"MA Vetter, K Pettiway",Hacking hetero/normative logics: Queer feminist media praxis in Wikipedia,2022,Masthead,Art+Feminism
MC Locay,A Reflection on the Dialectical Relationship of Librarian| Teacher: The Need for Pedagogical Training in Core MLIS Curriculum,2021,"A Reflection on the Dialectical Relationship of Librarian | Teacher:
The Need for Pedagogical Training in Core MLIS Curriculum",Art+Feminism
MD Espinosa,The Experience as a Document: Designing for the Future of Collaborative Remembering in Digital Archives,2020,"Designing for the future of
collaborative remembering in digital
archives",Art+Feminism
"MD Sheriff, ME Wiesner‐Hanks",How images got their gender: Masculinity and femininity in the visual arts,2020,A companion to global gender …,Art and Feminism
"ME Lemieux, R Zhang, F Tripodi",“too soon” to count? How gender and race cloud notability considerations on Wikipedia,2023,Big Data &Society,Art+Feminism
ME Macken,An overview of recent digital humanities initiatives in US art libraries,2021,Art Libraries Journal,Art+Feminism
MF Mojica López,Encontrarnos en la virtualidad: la creación de espacios (más) seguros en internet desde una perspectiva (trans) feminista e interseccional.,2022,"Encontrarnos en la virtualidad: la creaci´on
de espacios (m´as) seguros en internet
desde una perspectiva (trans)feminista e
interseccional.",Art+Feminism
"MO Igbinovia, O Okuonghae","African Librarians and the Future of Learning: Reflections from the 5thAfLIA Conference and 7th African Library Summit in Accra, Ghana",2023,Folia Toruniensia,Art+Feminism
N Mazur,"Malas Maestras: educación, género y conflicto en el sistema escolar argentino de Adrián Cammarota (2021) Buenos Aires, Grupo Editor Universitario, 98 pp.",2022,Estudios Sociales del Estado,Art+Feminism
"P Beytía, C Wagner",Visibility layers: a framework for systematising the gender gap in Wikipedia content,2022,Internet policy review,Art+Feminism
"P Guerra, S Sousa","Culturas DIY, feminismos e ativismos digitais",2023,"CULTURAS DIY, FEMINISMOS E ATIVISMOS DIGITAIS
DIY CULTURES, FEMINISMS AND DIGITAL ACTIVISM",Art+Feminism
"R Calvert, P DeMontfort",Conversation Piece: Still Invisible?,2016,British Art Studies,Art+Feminism
"R Castro, N Wallace",Academic Library-Supported Art+ Feminism Wikipedia Edit-A-Thons,2023,,[]
"R Farzan, S Savage, CF Saviaga",Bring on board new enthusiasts! A case study of impact of Wikipedia art+ feminism edit-a-thon events on newcomers,2016,Social Informatics,Art+Feminism
"R Haynes, C Pedersen",Collective Agency: Creative Communities in Australian Feminist Art,2022,… Belonging and Female Agency in the …,Art and Feminism
R Kodet,West Bohemian Historical Review IX| 2019| 2,2019,West Bohemian Historical Review,Art and Feminism
R O'Neill,MUSEUMS AND PARTICIPATORY CULTURE,2020,Museums and the Challenge of Change: Old …,Art+Feminism
